Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Arable land (% of land area),AG.LND.ARBL.ZS,Afghanistan,AFG,12.1159207180713,11.768219832736,11.9367092485372,11.9336458046135,11.9321140826517,11.9244554728426,11.903011365377,11.893821033606,11.8386790429801,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Albania,ALB,21.1313868613139,21.0948905109489,22.8467153284672,22.7007299270073,22.5948896199247,22.5218969191948,22.4671523936474,22.4489042184649,22.6386856858748,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Algeria,DZA,2.97303651951934,3.21697582439729,3.14979804680612,3.14979804680612,3.15168742180087,3.14736293437256,3.13611053361985,3.13304562952138,3.10873571225764,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,American Samoa,ASM,5,12.5,15,15,15,15,15,15,15,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Andorra,AND,2.12765957446809,2.12765957446809,1.63829783175854,1.63829783175854,1.6170212563048,1.72340426039189,1.72340426039189,1.72340426039189,1.65957440721228,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Angola,AGO,2.3261410122724,2.40635277131627,3.28868212079891,3.76995267506216,3.76995267506216,3.93037619314992,3.93037619314992,3.93037619314992,3.93037619314992,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Antigua and Barbuda,ATG,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Argentina,ARG,9.71063584110732,10.0997920845985,13.8784443981598,14.1707683369326,14.5263073274649,14.5062100566743,14.3238729998648,14.3238729998648,14.3238729998648,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Armenia,ARM,..,15.8061116965227,15.7534246575342,15.7780123711637,15.7499119738842,15.7428876785048,15.7182999648753,15.6902006395164,15.6796625885663,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Aruba,ABW,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Australia,AUS,6.2351118805566,6.15753094776304,5.54104890462492,6.2062142847845,6.13266860185101,6.01629720266066,6.11236218320034,6.00419145308046,5.98646389374963,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Austria,AUT,17.2681036570598,16.9411479777186,16.5166960960443,16.4678242743351,16.4147092989556,16.4047459560056,16.3796757651011,16.3118161899707,16.2923066545726,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Azerbaijan,AZE,..,22.1003568256878,22.7944742623265,22.8132787598183,22.9475682165985,23.2920789973681,23.3054697448495,23.4409590379614,24.1804765936857,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,"Bahamas, The",BHS,0.799200799200799,0.699300699300699,0.899100899100899,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Bahrain,BHR,2.89855072463768,2.8169014084507,2.09973764818998,2.08604965776146,2.07792210888553,2.07792210888553,2.07522704994463,2.05655521989817,2.05655521989817,..,..,..
