Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,2614.571,773.737,8463.436,12240.446,10755.311,9050.156,8467.103,9035.488,8672.455,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Albania,ALB,5515.168,3021.608,4598.418,5240.143,4924.781,4913.78,5489.499,4616.753,4536.079,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Algeria,DZA,76970.33,87861.32,119177.5,121187.016,129987.816,134465.223,145411.218,153133.92,150005.969,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Andorra,AND,407.037,524.381,517.047,491.378,487.711,476.71,462.042,465.709,469.376,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Angola,AGO,5115.465,9541.534,29057.308,30586.447,34176.44,33692.396,44851.077,34583.477,34693.487,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Antigua and Barbuda,ATG,282.359,344.698,524.381,513.38,524.381,524.381,528.048,546.383,557.384,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Argentina,ARG,112147.861,142136.587,187904.414,191622.752,193027.213,193701.941,195777.463,201167.953,201347.636,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Armenia,ARM,..,3465.315,4209.716,4917.447,5694.851,5496.833,5529.836,4803.77,5155.802,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Aruba,ABW,487.711,2379.883,2508.228,2500.894,1349.456,861.745,872.746,898.415,883.747,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Australia,AUS,263704.971,329443.28,390861.863,391818.95,388126.281,372317.844,361316.844,365332.209,375907.837,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Austria,AUT,57791.92,62265.66,67564.475,65063.581,62324.332,62529.684,58903.021,61264.569,61447.919,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Azerbaijan,AZE,..,29508.349,30678.122,33248.689,35397.551,35496.56,37385.065,37597.751,37619.753,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Bahamas, The",BHS,1840.834,1950.844,2387.217,1800.497,1906.84,2871.261,2350.547,2016.85,1785.829,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bahrain,BHR,12427.463,18819.044,29266.327,28848.289,27553.838,31407.855,31367.518,32892.99,31693.881,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,14161.954,27627.178,60223.141,63233.748,67670.818,69456.647,73758.038,81073.703,84245.658,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Barbados,BRB,1070.764,1151.438,1477.801,1529.139,1470.467,1448.465,1254.114,1254.114,1276.116,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belarus,BLR,..,53787.556,63043.064,64062.49,62969.724,63054.065,62801.042,58279.631,58279.631,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belgium,BEL,106049.64,115118.131,110259.356,99969.754,95132.981,97501.863,93563.505,99346.364,96889.474,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belize,BLZ,311.695,396.036,539.049,601.388,476.71,513.38,495.045,579.386,568.385,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Benin,BEN,707.731,1598.812,5089.796,5060.46,4803.77,5042.125,5375.822,6065.218,6475.922,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bermuda,BMU,502.379,517.047,608.722,443.707,366.7,509.713,649.059,557.384,612.389,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bhutan,BTN,128.345,396.036,487.711,733.4,836.076,920.417,1037.761,1067.097,1261.448,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bolivia,BOL,5757.19,11067.006,15188.714,16299.815,18819.044,19149.074,20329.848,20073.158,21605.964,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bosnia and Herzegovina,BIH,..,13787.92,21275.934,23886.838,22258.69,21921.326,19424.099,18569.688,21847.986,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Botswana,BWA,2702.579,3780.677,4569.082,4033.7,5082.462,5669.182,6857.29,5430.827,6340.243,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Brazil,BRA,208886.988,327983.814,419754.156,439412.943,470028.726,503677.118,533530.165,504388.516,462298.69,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,British Virgin Islands,VGB,66.006,124.678,198.018,201.685,201.685,201.685,212.686,212.686,212.686,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Brunei Darussalam,BRN,6193.563,4712.095,8203.079,9695.548,9666.212,7803.376,9053.823,7073.643,7664.03,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bulgaria,BGR,74480.437,43530.957,44114.01,49354.153,44862.078,39599.933,42328.181,44737.4,41708.458,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Burkina Faso,BFA,583.053,1041.428,2104.858,2200.2,2698.912,2929.933,2959.269,3329.636,3417.644,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Burundi,BDI,209.019,271.358,308.028,425.372,388.702,410.704,385.035,403.37,495.045,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cabo Verde,CPV,95.342,216.353,557.384,616.056,506.046,498.712,491.378,495.045,542.716,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cambodia,KHM,1261.448,1976.513,5126.466,5218.141,5456.496,5603.176,6684.941,8628.451,9919.235,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cameroon,CMR,682.062,3432.312,6780.283,6299.906,6024.881,5020.123,6798.618,7928.054,8291.087,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Canada,CAN,435181.225,534380.909,527263.262,522774.854,517721.728,519188.528,540614.809,549430.277,544894.198,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cayman Islands,CYM,249.356,465.709,557.384,586.72,535.382,535.382,546.383,557.384,546.383,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Central African Republic,CAF,198.018,267.691,264.024,278.692,293.36,286.026,289.693,293.36,297.027,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Chad,TCD,377.701,487.711,997.424,821.408,920.417,964.421,1001.091,1001.091,1015.759,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,33314.695,58815.013,72250.901,79243.87,80974.694,83226.232,79100.857,83244.567,85822.468,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,China,CHN,2442918.73,3405179.867,8776040.416,9733538.12,10028573.939,10258007.128,10291926.878,10145004.856,9893037.952,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Colombia,COL,57337.212,57923.932,77040.003,76926.326,80186.289,92734.763,86680.546,94109.888,97813.558,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Comoros,COM,62.339,102.676,161.348,135.679,143.013,176.016,154.014,168.682,201.685,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Congo, Dem. Rep.",COD,4294.057,909.416,2020.517,2493.56,2405.552,3589.993,4671.758,2838.258,2020.517,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Congo, Rep.",COG,1188.108,1048.762,1972.846,2251.538,2962.936,3237.961,3157.287,3230.627,3281.965,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Costa Rica,CRI,2955.602,5474.831,7568.688,7374.337,7337.667,7719.035,7843.713,7513.683,8023.396,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cote d'Ivoire,CIV,5034.791,6791.284,6967.3,7245.992,9292.178,10681.971,11089.008,10960.663,9673.546,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Croatia,HRV,..,19339.758,20172.167,19915.477,18045.307,17601.6,16904.87,17311.907,17487.923,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cuba,CUB,32962.663,26083.371,34114.101,29380.004,29746.704,27953.541,27623.511,29244.325,28283.571,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Curacao,CUW,..,..,..,..,5999.212,5214.474,5881.868,6395.248,5390.49,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Cyprus,CYP,4708.428,6978.301,7708.034,7425.675,6919.629,5947.874,6061.551,6138.558,6626.269,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Czech Republic,CZE,..,123801.587,112745.582,107993.15,103350.728,102012.273,97160.832,99852.41,102217.625,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Denmark,DNK,50230.566,51330.666,45815.498,40656.029,36427.978,37253.053,33146.013,30817.468,31785.556,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Djibouti,DJI,322.696,366.7,517.047,473.043,480.377,572.052,612.389,627.057,619.723,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Dominica,DMA,58.672,102.676,172.349,154.014,165.015,168.682,176.016,176.016,179.683,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Dominican Republic,DOM,9229.839,19790.799,21022.911,21767.312,21965.33,21473.952,22145.013,24136.194,25258.296,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Ecuador,ECU,16827.863,20718.55,36460.981,36482.983,32526.29,41451.768,46152.862,43270.6,41154.741,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Egypt, Arab Rep.",EGY,75540.2,141326.18,202715.427,217412.763,220108.008,214402.156,227852.712,224581.748,238560.352,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,El Salvador,SLV,2519.229,5753.523,6457.587,6648.271,6662.939,6230.233,6285.238,6849.956,7168.985,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Equatorial Guinea,GNQ,62.339,458.375,6893.96,9398.521,6985.635,7700.7,7308.331,6028.548,5654.514,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Eritrea,ERI,..,608.722,502.379,579.386,645.392,652.726,711.398,693.063,711.398,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Estonia,EST,..,14858.684,17781.283,18096.645,17146.892,19332.424,18173.652,16362.154,16589.508,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Eswatini,SWZ,964.421,1191.775,1059.763,1074.431,1235.779,1525.472,902.082,982.756,1155.105,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Ethiopia,ETH,3017.941,3549.656,6527.26,7135.982,8518.441,10410.613,12434.797,13718.247,14869.685,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Faroe Islands,FRO,704.064,689.396,630.724,568.385,590.387,678.395,597.721,608.722,630.724,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Fiji,FJI,814.074,843.41,1221.111,1089.099,1059.763,1338.455,1646.483,2156.196,2046.186,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Finland,FIN,51745.037,52196.078,61928.296,56662.484,49013.122,47164.954,47230.96,42606.873,45870.503,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,France,FRA,375691.484,362226.26,353033.091,331804.828,333227.624,334096.703,303275.568,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,French Polynesia,PYF,436.373,568.385,803.073,773.737,751.735,759.069,737.067,766.403,770.07,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Gabon,GAB,4499.409,4693.76,4800.103,4950.45,5056.793,5280.48,5324.484,5262.145,5320.817,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Gambia, The",GMB,198.018,275.025,432.706,447.374,454.708,432.706,513.38,524.381,531.715,..,..,..
